0,1,2,3,4,5,6,7,8,JP,TW,CN,KR
NGDP A,"USD, % QoQ",Activity,Real estate,,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Taxes less subsidies on products,,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Transportation and Storage,,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Wholesale and retail trade,accommodation and food services,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Primary,Total,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Primary,Agriculture,forestry and fishing,,,,,,,
NGDP A,"USD, % QoQ",Activity,Primary,Mining,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Total,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Total,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Electronic components and devices,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Fabricated metal products,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Basic metal,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Food products and beverages,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Textile products,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Pulp,paper and paper products,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Chemicals,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Petroleum and coal products,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Non-metallic mineral products,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Fabricated metal products,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,General-purpose,production and business oriented machinery,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Electrical machinery,equipment and supplies,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Information and communication electronics equipment,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Transport equipment,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Manufacturing,Other manufacturing,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Electricity,gas and water supply,waste management service,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Construction,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Utilities,Total,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Utilities,Electricity and gas,,,,,,,
NGDP A,"USD, % QoQ",Activity,Secondary,Utilities,Water supply,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Total,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Total excluding statistical discrepancy,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Total excluding taxes and statistical discrepancy,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Valued-Added Tax,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Arts,sports and recreation,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Wholesale and retail trade,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Transport and postal services,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Transport and storage,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Accommodation and food services,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Information and communications,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Finance and insurance,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Real estate,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Professional,scientific and technical,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Public administration,Total,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Public administration,defence and social security,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Education,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Human health and social work,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Support services,,,,,,,,
NGDP A,"USD, % QoQ",Activity,Tertiary,Other service,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Per capita,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,GDP,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Per capita,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Total,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Public,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Government Consumption,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Employee compensation per hour,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Employee compensation per worker,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Per capita,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Total,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Excluding Imputed Rent,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Per capita,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Total,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Direct Purchases Abroad by Resident Households,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Direct Purchases in the Domestic Market by Non-Resident Households,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Excluding Imputed Rent,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Total,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Total,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Durable Goods,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Semi-Durable Goods,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Non-Durable Goods,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Services,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Final Consumption Expenditure Contribution,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Final Consumption Expenditure,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation Contribution,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Total,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Private,Inventories,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Public,Inventories,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Buildings and Structures,Residential,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Total,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Total,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Residential,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Non-Residential,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Other,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Transport Equipment,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Other Machinery and Equipment,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Intellectual Property Products,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Non-Residential,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Residential,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Total,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Residential,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Non-Residential,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Other,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Transport Equipment,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Other Machinery and Equipment,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Intellectual Property Products,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Total,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Residential,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Non-Residential,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Other,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Transport Equipment,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Other Machinery and Equipment,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Intellectual Property Products,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Inventories,Total,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Inventories,Private,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Inventories,Public,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Net Exports of Goods and Services Contribution,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Net Exports of Goods and Services,Total,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Net Exports of Goods and Services,Exports of Goods and Services,Total,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Net Exports of Goods and Services,Exports of Goods and Services,Goods,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Net Exports of Goods and Services,Exports of Goods and Services,Services,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Net Exports of Goods and Services,Imports of Goods and Services,Total,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Net Exports of Goods and Services,Imports of Goods and Services,Goods,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Expenditure,Net Exports of Goods and Services,Imports of Goods and Services,Services,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Import Duties,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,GDP,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Total,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,output gap,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,HP filter trend,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Revisions,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Agriculture,forestry and fishing,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Business activities,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Construction,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Cultural and other services,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Education,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Electricity,gas and water supply,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Finance and insurance,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Gross domestic product at market prices,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Gross value added at market prices,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Human health and social work,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Information and communication,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Manufacturing,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Mining and quarrying,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Public administration,defence and social activity,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Real estate,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Taxes less subsidies on products,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Transportation and Storage,,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Wholesale and retail trade,accommodation and food services,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Primary,Total,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Primary,Agriculture,forestry and fishing,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Primary,Mining,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Total,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Total,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Electronic components and devices,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Fabricated metal products,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Basic metal,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Food products and beverages,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Textile products,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Pulp,paper and paper products,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Chemicals,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Petroleum and coal products,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Non-metallic mineral products,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Fabricated metal products,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,General-purpose,production and business oriented machinery,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Electrical machinery,equipment and supplies,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Information and communication electronics equipment,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Transport equipment,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Manufacturing,Other manufacturing,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Electricity,gas and water supply,waste management service,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Construction,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Utilities,Total,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Utilities,Electricity and gas,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Secondary,Utilities,Water supply,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Total,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Total excluding statistical discrepancy,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Total excluding taxes and statistical discrepancy,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Valued-Added Tax,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Arts,sports and recreation,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Wholesale and retail trade,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Transport and postal services,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Transport and storage,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Accommodation and food services,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Information and communications,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Finance and insurance,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Real estate,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Professional,scientific and technical,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Public administration,Total,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Public administration,defence and social security,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Education,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Human health and social work,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Support services,,,,,,,,
NGDP A,"LCU, Contribution to % YoY chg, ppts",Activity,Tertiary,Other service,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Per capita,,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,GDP,,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Per capita,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Total,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Public,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Government Consumption,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Employee compensation per hour,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Employee compensation per worker,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Per capita,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Total,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Excluding Imputed Rent,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Per capita,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Total,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Direct Purchases Abroad by Resident Households,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Direct Purchases in the Domestic Market by Non-Resident Households,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Excluding Imputed Rent,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Total,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Total,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Durable Goods,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Semi-Durable Goods,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Goods,Non-Durable Goods,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Private Consumption,Household Consumption,Domestic Final Consumption,Services,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Final Consumption Expenditure Contribution,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Final Consumption Expenditure,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation Contribution,,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Total,,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Private,Inventories,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Public,Inventories,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Buildings and Structures,Residential,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Total,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Total,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Residential,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Non-Residential,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Construction,Other,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Transport Equipment,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Other Machinery and Equipment,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Intellectual Property Products,,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Non-Residential,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Residential,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Total,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Residential,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Non-Residential,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Construction,Other,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Transport Equipment,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Other Machinery and Equipment,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Private,Intellectual Property Products,,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Total,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Residential,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Non-Residential,,,,
NGDP A,"LCU, Contribution to % QoQ chg, ppts",Expenditure,Domestic Demand,Gross Capital Formation,Gross Fixed Capital Formation,Public,Construction,Other,,,,
